Target  ▾	RA	DEC	Sp. Type	T_eff [K]	B [mag]	V [mag]	G [mag]	Dist [pc]	Explore data	Data products (ascii)	Data products (csv)
HIP52776	10:47:25.3881	-22:17:12.171	K4.5Vk:	4582.7	11.049	10.000	9.501	33.60	GLS Plot	HIP52776_harps_all-data_v1.dat	HIP52776_harps_all-data_v1.csv
HIP52997	10:50:28.2958	-20:52:50.375	K4V	4590.7	11.660	10.636	10.219	47.35	GLS Plot	HIP52997_harps_all-data_v1.dat	HIP52997_harps_all-data_v1.csv
HIP53559	10:57:23.4302	-33:29:04.930	K0	5175.0	10.220	9.340	9.107	56.09	GLS Plot	HIP53559_harps_all-data_v1.dat	HIP53559_harps_all-data_v1.csv
HIP53639	10:58:24.3669	-06:44:14.046	K4V	N/A	11.410	10.242	9.855	45.01	GLS Plot	HIP53639_harps_all-data_v1.dat	HIP53639_harps_all-data_v1.csv
HIP53911	11:01:51.9054	-34:42:17.031	K6Ve	4236.0	11.940	10.500	10.439	60.09	GLS Plot	HIP53911_harps_all-data_v1.dat	HIP53911_harps_all-data_v1.csv
HIP54365	11:07:20.7272	-77:38:07.303	G2Ve	4251.0	12.020	10.740	10.194	190.62	GLS Plot	HIP54365_harps_all-data_v1.dat	HIP54365_harps_all-data_v1.csv
HIP54373	11:07:27.7020	-19:17:29.355	K5V	4021.4	11.828	10.379	9.641	18.73	GLS Plot	HIP54373_harps_all-data_v1.dat	HIP54373_harps_all-data_v1.csv
HIP54446	11:08:23.8319	-26:09:16.352	K3V	4942.0	10.860	9.940	9.681	51.83	GLS Plot	HIP54446_harps_all-data_v1.dat	HIP54446_harps_all-data_v1.csv
HIP54469	11:08:40.0960	-44:15:33.796	F8	5932.0	10.380	9.820	9.682	134.12	GLS Plot	HIP54469_harps_all-data_v1.dat	HIP54469_harps_all-data_v1.csv
HIP54597	11:10:25.9840	-29:24:50.325	K5V	4742.5	10.990	9.820	9.483	39.79	GLS Plot	HIP54597_harps_all-data_v1.dat	HIP54597_harps_all-data_v1.csv
