Target  ▾	RA	DEC	Sp. Type	T_eff [K]	B [mag]	V [mag]	G [mag]	Dist [pc]	Explore data	Data products (ascii)	Data products (csv)
HD108767B	12:29:50.8907	-16:31:15.206	K1	4991.0	9.380	8.430	8.167	26.70	GLS Plot	HD108767B_harps_all-data_v1.dat	HD108767B_harps_all-data_v1.csv
HD108768	12:29:55.4833	-26:25:13.996	G6V	5584.0	9.620	8.860	8.720	58.29	GLS Plot	HD108768_harps_all-data_v1.dat	HD108768_harps_all-data_v1.csv
HD108857	12:30:46.2748	-58:11:16.781	F7V	5827.0	9.120	8.600	8.428	104.52	GLS Plot	HD108857_harps_all-data_v1.dat	HD108857_harps_all-data_v1.csv
HD108935	12:31:17.7152	-43:23:04.076	K4V	N/A	10.889	9.928	9.403	38.99	GLS Plot	HD108935_harps_all-data_v1.dat	HD108935_harps_all-data_v1.csv
HD10895	01:46:00.1328	-43:54:48.079	G3V	5687.0	9.350	8.690	8.538	49.03	GLS Plot	HD10895_harps_all-data_v1.dat	HD10895_harps_all-data_v1.csv
HD108953	12:31:35.5011	-59:12:28.688	G8/K0IV/V	5426.6	9.990	9.190	9.066	70.37	GLS Plot	HD108953_harps_all-data_v1.dat	HD108953_harps_all-data_v1.csv
HD109098	12:32:04.4496	-01:46:20.487	G3/5V	5923.2	7.940	7.310	7.149	57.38	GLS Plot	HD109098_harps_all-data_v1.dat	HD109098_harps_all-data_v1.csv
HD109271	12:33:35.5542	-11:37:18.727	G3/5V	5748.4	8.710	8.050	7.878	55.96	GLS Plot	HD109271_harps_all-data_v1.dat	HD109271_harps_all-data_v1.csv
HD109310	12:33:49.0623	-23:30:56.697	G1V	5941.3	8.900	8.350	8.218	53.37	GLS Plot	HD109310_harps_all-data_v1.dat	HD109310_harps_all-data_v1.csv
HD109379	12:34:23.2348	-23:23:48.337	G5IIBa0.3	4732.7	3.520	2.640	2.251	50.00	GLS Plot	HD109379_harps_all-data_v1.dat	HD109379_harps_all-data_v1.csv
HD109408	12:34:41.6935	-42:54:58.551	F2V	6555.1	10.730	10.370	10.218	245.36	GLS Plot	HD109408_harps_all-data_v1.dat	HD109408_harps_all-data_v1.csv
HD109409	12:34:42.3936	-44:40:22.868	G3IV	5826.0	6.440	5.760	5.590	28.49	GLS Plot	HD109409_harps_all-data_v1.dat	HD109409_harps_all-data_v1.csv
HD109536	12:35:45.5323	-41:01:19.021	A7V	7636.5	5.342	5.114	5.039	34.89	GLS Plot	HD109536_harps_all-data_v1.dat	HD109536_harps_all-data_v1.csv
HD109573	12:36:01.0317	-39:52:10.222	A0V	9669.8	5.786	5.774	5.771	71.91	GLS Plot	HD109573_harps_all-data_v1.dat	HD109573_harps_all-data_v1.csv
HD109684	12:36:28.4428	+10:43:47.411	G0	6008.0	9.280	8.730	8.568	83.22	GLS Plot	HD109684_harps_all-data_v1.dat	HD109684_harps_all-data_v1.csv
HD109787	12:37:42.1634	-48:32:28.709	A1IVnn	8346.0	3.910	3.860	3.777	39.72	GLS Plot	HD109787_harps_all-data_v1.dat	HD109787_harps_all-data_v1.csv
HD109988	12:39:15.7644	-32:43:33.893	K0IV/V	5130.0	9.770	8.900	8.660	42.58	GLS Plot	HD109988_harps_all-data_v1.dat	HD109988_harps_all-data_v1.csv
HD110014	12:39:14.7669	-07:59:44.041	K2+IIICN0.5	4445.0	5.886	4.643	4.236	100.98	GLS Plot	HD110014_harps_all-data_v1.dat	HD110014_harps_all-data_v1.csv
HD110058	12:39:46.1959	-49:11:55.552	A0V	8039.0	8.120	7.970	7.950	129.98	GLS Plot	HD110058_harps_all-data_v1.dat	HD110058_harps_all-data_v1.csv
HD11025	01:37:28.0286	-84:46:10.616	G8III	5027.5	6.606	5.667	5.397	104.17	GLS Plot	HD11025_harps_all-data_v1.dat	HD11025_harps_all-data_v1.csv
HD110291	12:41:37.7208	-56:38:00.298	K1/2III+F/G	5453.0	9.890	9.160	8.939	60.86	GLS Plot	HD110291_harps_all-data_v1.dat	HD110291_harps_all-data_v1.csv
HD110411	12:41:53.0567	+10:14:08.229	A0Va_lB	8757.0	4.970	4.880	4.817	38.16	GLS Plot	HD110411_harps_all-data_v1.dat	HD110411_harps_all-data_v1.csv
HD110537	12:42:59.3251	-04:02:57.596	G6/8V	N/A	8.510	7.830	7.661	45.14	GLS Plot	HD110537_harps_all-data_v1.dat	HD110537_harps_all-data_v1.csv
HD110557	12:43:08.9048	-05:44:24.847	K0V	N/A	10.460	9.660	9.437	64.29	GLS Plot	HD110557_harps_all-data_v1.dat	HD110557_harps_all-data_v1.csv
HD110619	12:43:42.7237	-37:42:29.319	G5V	N/A	8.190	7.520	7.350	27.77	GLS Plot	HD110619_harps_all-data_v1.dat	HD110619_harps_all-data_v1.csv
HD110621	12:43:43.2212	-44:40:31.556	Fpw	5652.0	10.340	9.920	9.772	150.58	GLS Plot	HD110621_harps_all-data_v1.dat	HD110621_harps_all-data_v1.csv
HD110668	12:43:58.3622	-35:07:23.193	G3/5V	5836.5	8.950	8.280	8.138	57.01	GLS Plot	HD110668_harps_all-data_v1.dat	HD110668_harps_all-data_v1.csv
HD111133	12:47:02.3097	+05:57:01.395	A0VspSrCrEu	9628.0	6.290	6.340	6.276	191.92	GLS Plot	HD111133_harps_all-data_v1.dat	HD111133_harps_all-data_v1.csv
HD111232	12:48:51.7525	-68:25:30.554	G8VFe-1.0	5605.0	8.290	7.610	7.419	28.89	GLS Plot	HD111232_harps_all-data_v1.dat	HD111232_harps_all-data_v1.csv
HD111261B	12:48:09.9884	-24:48:16.628	K7Vk:	N/A	nan	9.330	9.302	18.73	GLS Plot	HD111261B_harps_all-data_v1.dat	HD111261B_harps_all-data_v1.csv
HD111519	12:50:19.4849	-48:27:34.377	A0V	8938.8	6.282	6.257	6.229	161.12	GLS Plot	HD111519_harps_all-data_v1.dat	HD111519_harps_all-data_v1.csv
HD111564	12:50:20.1844	-30:34:37.518	G0V	N/A	8.220	7.610	7.465	46.34	GLS Plot	HD111564_harps_all-data_v1.dat	HD111564_harps_all-data_v1.csv
HD11168	01:50:05.4605	+14:21:04.928	G0	5723.9	9.120	8.490	8.339	94.05	GLS Plot	HD11168_harps_all-data_v1.dat	HD11168_harps_all-data_v1.csv
HD111777	12:52:11.6439	-56:34:27.987	G0/3	N/A	9.070	8.460	8.322	49.50	GLS Plot	HD111777_harps_all-data_v1.dat	HD111777_harps_all-data_v1.csv
HD111814	12:51:45.5622	+19:13:43.806	G7V	5676.0	8.830	8.130	7.971	84.21	GLS Plot	HD111814_harps_all-data_v1.dat	HD111814_harps_all-data_v1.csv
HD11195	01:49:42.9210	-18:56:09.842	G5V	5638.8	9.540	8.910	8.732	59.95	GLS Plot	HD11195_harps_all-data_v1.dat	HD11195_harps_all-data_v1.csv
HD111998	12:53:11.1564	-03:33:11.148	F6V	N/A	6.610	6.110	5.987	33.26	GLS Plot	HD111998_harps_all-data_v1.dat	HD111998_harps_all-data_v1.csv
HD112100	12:54:16.4402	-25:32:03.982	K1V	N/A	10.820	9.900	9.647	55.23	GLS Plot	HD112100_harps_all-data_v1.dat	HD112100_harps_all-data_v1.csv
HD112109	12:55:03.9083	-63:38:26.860	F0V	7171.6	8.400	8.060	7.960	98.13	GLS Plot	HD112109_harps_all-data_v1.dat	HD112109_harps_all-data_v1.csv
HD11226	01:50:15.4483	-06:42:14.722	K4III	6009.0	7.640	7.060	6.929	43.60	GLS Plot	HD11226_harps_all-data_v1.dat	HD11226_harps_all-data_v1.csv
HD11231	01:49:37.8897	-34:27:32.872	F5V	6293.1	9.020	8.570	8.458	138.49	GLS Plot	HD11231_harps_all-data_v1.dat	HD11231_harps_all-data_v1.csv
HD112540	13:08:20.6252	-87:13:09.508	G7V	5814.2	8.920	8.200	8.013	36.32	GLS Plot	HD112540_harps_all-data_v1.dat	HD112540_harps_all-data_v1.csv
HD11262	01:49:48.8488	-38:24:10.211	F9VFe-0.5	5095.6	6.890	6.370	6.227	25.93	GLS Plot	HD11262_harps_all-data_v1.dat	HD11262_harps_all-data_v1.csv
HD112646	12:58:54.9152	-55:40:23.310	K6Vk:	4472.0	10.946	9.750	9.319	32.20	GLS Plot	HD112646_harps_all-data_v1.dat	HD112646_harps_all-data_v1.csv
HD11271	01:50:52.0844	+06:31:42.721	G5	6049.0	9.050	8.460	8.309	80.01	GLS Plot	HD11271_harps_all-data_v1.dat	HD11271_harps_all-data_v1.csv
HD112934	13:00:33.5253	-33:03:04.762	A9V	7031.0	6.860	6.570	6.492	54.99	GLS Plot	HD112934_harps_all-data_v1.dat	HD112934_harps_all-data_v1.csv
HD113226	13:02:10.5978	+10:57:32.941	G8III-IIIb	N/A	3.710	2.790	2.455	32.72	GLS Plot	HD113226_harps_all-data_v1.dat	HD113226_harps_all-data_v1.csv
HD11332	01:50:20.1816	-47:48:59.006	K0III	N/A	7.144	6.140	5.881	145.38	GLS Plot	HD11332_harps_all-data_v1.dat	HD11332_harps_all-data_v1.csv
HD113449	13:03:49.6546	-05:09:42.517	K1V	N/A	8.555	7.679	7.411	20.46	GLS Plot	HD113449_harps_all-data_v1.dat	HD113449_harps_all-data_v1.csv
HD113569	13:04:55.7547	-28:55:43.565	K2V	5003.4	10.700	9.710	9.447	47.34	GLS Plot	HD113569_harps_all-data_v1.dat	HD113569_harps_all-data_v1.csv
HD113679	13:05:52.8243	-38:30:59.990	G2/3V	N/A	10.342	9.797	9.531	134.20	GLS Plot	HD113679_harps_all-data_v1.dat	HD113679_harps_all-data_v1.csv
HD113904	13:08:07.1527	-65:18:21.679	WC5+B0III	9660.0	5.500	5.530	5.575	1492.00	GLS Plot	HD113904_harps_all-data_v1.dat	HD113904_harps_all-data_v1.csv
HD11397	01:51:40.5282	-16:19:03.562	G6IV/V	N/A	9.630	9.020	8.769	54.23	GLS Plot	HD11397_harps_all-data_v1.dat	HD11397_harps_all-data_v1.csv
HD113998	13:07:24.9513	+11:08:05.498	G0	5857.5	nan	nan	8.309	68.08	GLS Plot	HD113998_harps_all-data_v1.dat	HD113998_harps_all-data_v1.csv
HD114076	13:08:33.9258	-41:38:38.952	K0V	N/A	10.210	9.390	9.166	45.82	GLS Plot	HD114076_harps_all-data_v1.dat	HD114076_harps_all-data_v1.csv
HD114386	13:10:39.8240	-35:03:17.214	K3V	N/A	9.800	8.710	8.418	27.95	GLS Plot	HD114386_harps_all-data_v1.dat	HD114386_harps_all-data_v1.csv
HD114561	13:11:45.1592	-35:37:07.343	G3V	5861.5	9.030	8.370	8.240	53.17	GLS Plot	HD114561_harps_all-data_v1.dat	HD114561_harps_all-data_v1.csv
HD114613	13:12:03.1833	-37:48:10.879	G3V	N/A	5.550	4.850	4.604	20.29	GLS Plot	HD114613_harps_all-data_v1.dat	HD114613_harps_all-data_v1.csv
HD114642	13:12:03.5439	-16:11:54.977	F5.5V	N/A	5.500	5.040	4.851	32.97	GLS Plot	HD114642_harps_all-data_v1.dat	HD114642_harps_all-data_v1.csv
HD114729	13:12:44.2594	-31:52:24.057	G0V	N/A	7.310	6.690	6.514	37.85	GLS Plot	HD114729_harps_all-data_v1.dat	HD114729_harps_all-data_v1.csv
HD114747	13:12:54.3034	-30:42:42.318	K2III-IV	5105.5	9.000	8.050	7.788	27.95	GLS Plot	HD114747_harps_all-data_v1.dat	HD114747_harps_all-data_v1.csv
HD114853	13:13:52.2256	-45:11:08.881	G1.5V	5729.0	7.583	6.940	6.747	25.05	GLS Plot	HD114853_harps_all-data_v1.dat	HD114853_harps_all-data_v1.csv
HD115031	13:15:20.5130	-55:20:29.725	G2/3V	N/A	8.980	8.340	8.180	67.32	GLS Plot	HD115031_harps_all-data_v1.dat	HD115031_harps_all-data_v1.csv
HD11505	01:53:06.1989	-01:19:36.988	G5V	4498.0	8.050	7.420	7.258	39.01	GLS Plot	HD11505_harps_all-data_v1.dat	HD11505_harps_all-data_v1.csv
HD115169	13:15:47.3883	-29:30:21.184	G3V	5855.7	9.890	9.200	9.089	77.34	GLS Plot	HD115169_harps_all-data_v1.dat	HD115169_harps_all-data_v1.csv
HD115231	13:15:36.9677	+09:00:57.705	G9	N/A	9.140	nan	8.249	54.01	GLS Plot	HD115231_harps_all-data_v1.dat	HD115231_harps_all-data_v1.csv
HD115341	13:16:40.0709	-05:34:24.608	G1V	6019.2	8.430	7.830	7.695	47.77	GLS Plot	HD115341_harps_all-data_v1.dat	HD115341_harps_all-data_v1.csv
HD115496	13:18:44.3565	-58:16:01.258	G2V	5802.0	9.240	8.590	8.428	115.08	GLS Plot	HD115496_harps_all-data_v1.dat	HD115496_harps_all-data_v1.csv
HD115585	13:19:50.5882	-70:51:18.077	G5/6IV/V	5093.0	8.170	7.420	7.244	45.04	GLS Plot	HD115585_harps_all-data_v1.dat	HD115585_harps_all-data_v1.csv
HD115659	13:18:55.2971	-23:10:17.451	G8IIIa	4710.0	3.920	3.000	2.616	41.89	GLS Plot	HD115659_harps_all-data_v1.dat	HD115659_harps_all-data_v1.csv
HD115674	13:23:00.0716	-81:18:36.411	G5VFe-0.7	N/A	8.550	7.870	7.706	34.71	GLS Plot	HD115674_harps_all-data_v1.dat	HD115674_harps_all-data_v1.csv
HD115773	13:19:58.2966	-41:11:26.386	F6V	N/A	7.270	6.750	6.591	57.62	GLS Plot	HD115773_harps_all-data_v1.dat	HD115773_harps_all-data_v1.csv
HD115902	13:20:22.0632	-09:03:34.997	G5V	5621.0	9.420	8.730	8.577	62.59	GLS Plot	HD115902_harps_all-data_v1.dat	HD115902_harps_all-data_v1.csv
HD11608	01:53:31.4443	-21:15:09.823	K1/2V	4951.4	10.260	9.280	9.024	43.18	GLS Plot	HD11608_harps_all-data_v1.dat	HD11608_harps_all-data_v1.csv
HD116087	13:22:37.9361	-60:59:18.217	B3V	8868.7	4.369	4.509	4.455	103.05	GLS Plot	HD116087_harps_all-data_v1.dat	HD116087_harps_all-data_v1.csv
HD116114	13:21:46.3077	-18:44:31.541	F0VpSrCrEu	7424.8	7.340	7.020	6.967	135.19	GLS Plot	HD116114_harps_all-data_v1.dat	HD116114_harps_all-data_v1.csv
HD11616	01:54:11.9821	+09:57:02.250	G5	5900.3	8.420	7.800	7.633	68.69	GLS Plot	HD11616_harps_all-data_v1.dat	HD11616_harps_all-data_v1.csv
HD116160	13:21:41.6449	+02:05:14.059	A0V	9126.0	5.732	5.687	5.670	62.58	GLS Plot	HD116160_harps_all-data_v1.dat	HD116160_harps_all-data_v1.csv
HD116235	13:22:09.7048	+05:09:17.129	kA3hA6mA7	8273.5	5.989	5.873	5.856	63.80	GLS Plot	HD116235_harps_all-data_v1.dat	HD116235_harps_all-data_v1.csv
HD116259	13:22:43.6063	-18:01:51.250	G5/6V	5705.3	8.800	8.070	7.894	59.45	GLS Plot	HD116259_harps_all-data_v1.dat	HD116259_harps_all-data_v1.csv
HD116284	13:24:39.0495	-70:25:48.804	K0IV	5191.3	8.120	7.250	7.020	49.22	GLS Plot	HD116284_harps_all-data_v1.dat	HD116284_harps_all-data_v1.csv
HD116410	13:23:41.2167	-15:07:04.871	G3V	5864.0	8.820	8.150	8.031	54.85	GLS Plot	HD116410_harps_all-data_v1.dat	HD116410_harps_all-data_v1.csv
HD116434	13:24:36.0982	-51:30:16.046	A2V	8735.0	7.080	6.980	6.983	109.21	GLS Plot	HD116434_harps_all-data_v1.dat	HD116434_harps_all-data_v1.csv
HD116458	13:25:50.3011	-70:37:38.091	ApHg(Mn)	9692.7	5.626	5.651	5.616	128.88	GLS Plot	HD116458_harps_all-data_v1.dat	HD116458_harps_all-data_v1.csv
HD116568	13:24:33.2484	-05:09:50.161	K2V	6520.0	6.167	5.749	5.640	31.08	GLS Plot	HD116568_harps_all-data_v1.dat	HD116568_harps_all-data_v1.csv
HD116883	13:27:18.0855	-39:57:10.120	K3V	4927.0	10.540	9.590	9.346	42.88	GLS Plot	HD116883_harps_all-data_v1.dat	HD116883_harps_all-data_v1.csv
HD116941	13:26:44.4244	+16:56:55.202	F8	6171.6	8.530	8.010	7.881	77.00	GLS Plot	HD116941_harps_all-data_v1.dat	HD116941_harps_all-data_v1.csv
HD1171	00:16:00.1498	-22:25:17.746	G8V	5376.0	10.510	9.770	9.566	60.24	GLS Plot	HD1171_harps_all-data_v1.dat	HD1171_harps_all-data_v1.csv
HD117105	13:28:30.5526	-27:23:30.643	F9.5V	N/A	7.780	7.210	7.039	36.55	GLS Plot	HD117105_harps_all-data_v1.dat	HD117105_harps_all-data_v1.csv
HD117126	13:28:18.7098	-00:50:24.697	G3/5V	N/A	8.080	7.440	7.265	44.96	GLS Plot	HD117126_harps_all-data_v1.dat	HD117126_harps_all-data_v1.csv
HD117190	13:28:26.6798	+15:42:29.876	F5	5962.0	nan	nan	nan	nan	GLS Plot	HD117190_harps_all-data_v1.dat	HD117190_harps_all-data_v1.csv
HD117359	13:31:44.4216	-67:25:00.057	K0V	5262.7	10.220	9.380	9.195	54.55	GLS Plot	HD117359_harps_all-data_v1.dat	HD117359_harps_all-data_v1.csv
HD117618	13:32:25.5555	-47:16:16.913	G0V	5974.0	7.770	7.170	7.022	37.82	GLS Plot	HD117618_harps_all-data_v1.dat	HD117618_harps_all-data_v1.csv
HD118022	13:34:07.9318	+03:39:32.273	ApEuCrSr	9319.0	4.960	4.940	4.854	58.27	GLS Plot	HD118022_harps_all-data_v1.dat	HD118022_harps_all-data_v1.csv
HD118466	13:37:49.0858	-35:26:56.007	K2V	4996.6	10.270	9.330	9.064	47.86	GLS Plot	HD118466_harps_all-data_v1.dat	HD118466_harps_all-data_v1.csv
HD118551	13:39:27.8765	-63:59:08.402	A7IV/V	7150.0	9.610	9.340	9.302	2523.34	GLS Plot	HD118551_harps_all-data_v1.dat	HD118551_harps_all-data_v1.csv
HD118563	13:38:28.4181	-38:19:13.085	G8V	5498.5	9.870	9.120	8.952	56.03	GLS Plot	HD118563_harps_all-data_v1.dat	HD118563_harps_all-data_v1.csv
HD118679	13:39:07.0223	-39:39:53.085	G3/5+(G5III)	5789.0	10.380	9.790	9.662	91.75	GLS Plot	HD118679_harps_all-data_v1.dat	HD118679_harps_all-data_v1.csv
HD119027	13:41:19.8265	-28:46:59.792	ApSrEu(Cr)	6750.0	10.410	9.920	9.940	331.59	GLS Plot	HD119027_harps_all-data_v1.dat	HD119027_harps_all-data_v1.csv
HD119173	13:41:42.6831	-04:01:45.880	G0V	5913.8	9.390	9.158	8.670	64.65	GLS Plot	HD119173_harps_all-data_v1.dat	HD119173_harps_all-data_v1.csv
HD119288	13:42:12.7607	+08:23:18.227	F2V	N/A	6.580	nan	6.043	35.37	GLS Plot	HD119288_harps_all-data_v1.dat	HD119288_harps_all-data_v1.csv
HD119329	13:43:44.5534	-51:37:35.671	G5IV	5599.0	8.990	8.250	8.066	68.09	GLS Plot	HD119329_harps_all-data_v1.dat	HD119329_harps_all-data_v1.csv
HD11938	01:55:49.3082	-52:50:26.783	K4Vk:	N/A	11.010	9.940	9.467	40.10	GLS Plot	HD11938_harps_all-data_v1.dat	HD11938_harps_all-data_v1.csv
HD119503	13:43:41.8157	-09:28:32.108	K2V	N/A	10.590	9.610	9.275	42.08	GLS Plot	HD119503_harps_all-data_v1.dat	HD119503_harps_all-data_v1.csv
HD119537	13:43:54.2377	-05:29:56.179	A0V	8842.0	6.559	6.498	6.475	126.32	GLS Plot	HD119537_harps_all-data_v1.dat	HD119537_harps_all-data_v1.csv
HD119629	13:45:27.3210	-48:47:29.977	F7V	6120.8	7.278	6.762	6.620	59.82	GLS Plot	HD119629_harps_all-data_v1.dat	HD119629_harps_all-data_v1.csv
HD119638	13:44:44.6014	-14:13:30.649	F8.5V	6086.0	7.400	6.920	6.756	33.85	GLS Plot	HD119638_harps_all-data_v1.dat	HD119638_harps_all-data_v1.csv
HD11964	01:57:09.6073	-10:14:32.731	G9VCN+1	N/A	7.250	6.420	6.204	33.57	GLS Plot	HD11964_harps_all-data_v1.dat	HD11964_harps_all-data_v1.csv
HD11977	01:54:56.1320	-67:38:50.294	G8IIIb	4936.5	5.623	4.685	4.371	68.05	GLS Plot	HD11977_harps_all-data_v1.dat	HD11977_harps_all-data_v1.csv
HD119782	13:46:42.0269	-56:51:00.369	K1.5Vk:	5174.0	9.530	8.630	8.401	34.84	GLS Plot	HD119782_harps_all-data_v1.dat	HD119782_harps_all-data_v1.csv
HD119802	13:45:14.7171	+08:50:09.516	K3V	4801.5	9.535	8.459	8.139	22.10	GLS Plot	HD119802_harps_all-data_v1.dat	HD119802_harps_all-data_v1.csv
HD119949	13:46:45.6510	-20:51:09.223	G5V	6177.7	8.610	8.160	7.966	78.58	GLS Plot	HD119949_harps_all-data_v1.dat	HD119949_harps_all-data_v1.csv
HD120250	13:48:53.1529	-29:39:40.230	F3/5V	6422.0	8.580	8.130	8.006	78.83	GLS Plot	HD120250_harps_all-data_v1.dat	HD120250_harps_all-data_v1.csv
HD120344	13:50:48.3612	-62:54:18.746	G3V	N/A	9.540	8.860	8.677	58.26	GLS Plot	HD120344_harps_all-data_v1.dat	HD120344_harps_all-data_v1.csv
HD120362	13:53:43.7645	-78:24:49.312	G5V	5485.0	10.050	9.270	9.087	61.79	GLS Plot	HD120362_harps_all-data_v1.dat	HD120362_harps_all-data_v1.csv
HD12039	01:57:48.9776	-21:54:05.343	G4V	5826.0	8.730	8.057	7.879	41.41	GLS Plot	HD12039_harps_all-data_v1.dat	HD12039_harps_all-data_v1.csv
HD12055	01:57:10.0849	-47:23:07.093	G6III-IIIb	5196.0	5.695	4.834	4.531	76.33	GLS Plot	HD12055_harps_all-data_v1.dat	HD12055_harps_all-data_v1.csv
HD120734	13:51:55.7389	-36:37:24.833	G0V+G0V	5615.2	9.130	8.540	8.371	66.25	GLS Plot	HD120734_harps_all-data_v1.dat	HD120734_harps_all-data_v1.csv
HD121004	13:53:58.1163	-46:32:19.526	G2V	N/A	10.112	9.522	8.860	65.56	GLS Plot	HD121004_harps_all-data_v1.dat	HD121004_harps_all-data_v1.csv
HD121416	13:56:19.7764	-46:35:34.616	K1III	4684.5	6.955	5.815	5.481	92.56	GLS Plot	HD121416_harps_all-data_v1.dat	HD121416_harps_all-data_v1.csv
HD121504	13:57:17.2384	-56:02:24.156	G2V	N/A	8.120	7.520	7.390	41.71	GLS Plot	HD121504_harps_all-data_v1.dat	HD121504_harps_all-data_v1.csv
HD122173	14:00:46.4447	-30:35:00.837	F6/7V	5865.5	10.620	10.070	9.867	201.18	GLS Plot	HD122173_harps_all-data_v1.dat	HD122173_harps_all-data_v1.csv
HD122194	14:01:03.6087	-32:45:25.020	G3V	5579.0	10.040	9.360	9.221	99.89	GLS Plot	HD122194_harps_all-data_v1.dat	HD122194_harps_all-data_v1.csv
HD122308	14:02:32.5687	-52:38:41.511	G8V	5300.0	10.470	9.680	9.484	57.52	GLS Plot	HD122308_harps_all-data_v1.dat	HD122308_harps_all-data_v1.csv
HD122430	14:02:22.7817	-27:25:47.199	K2/3III	4340.0	6.799	5.469	4.997	135.78	GLS Plot	HD122430_harps_all-data_v1.dat	HD122430_harps_all-data_v1.csv
HD122474	14:02:20.0533	-12:02:13.649	G3/5V	5714.5	9.420	8.720	8.534	64.32	GLS Plot	HD122474_harps_all-data_v1.dat	HD122474_harps_all-data_v1.csv
HD122603	14:02:47.6281	+03:32:43.817	F8/G0IV	5996.8	nan	nan	7.398	75.91	GLS Plot	HD122603_harps_all-data_v1.dat	HD122603_harps_all-data_v1.csv
HD12264	02:00:05.3380	-13:32:46.000	G5V	5805.0	8.640	7.980	7.817	40.89	GLS Plot	HD12264_harps_all-data_v1.dat	HD12264_harps_all-data_v1.csv
HD122640	14:03:37.1829	-27:00:35.941	K0V	N/A	10.130	9.260	9.068	63.11	GLS Plot	HD122640_harps_all-data_v1.dat	HD122640_harps_all-data_v1.csv
HD122970	14:04:48.9378	+05:24:51.462	F0	6765.8	8.700	8.290	8.210	130.28	GLS Plot	HD122970_harps_all-data_v1.dat	HD122970_harps_all-data_v1.csv
HD123265	14:06:41.2799	-05:31:06.008	K1V	N/A	9.190	8.360	8.134	40.30	GLS Plot	HD123265_harps_all-data_v1.dat	HD123265_harps_all-data_v1.csv
HD123319	14:08:21.1032	-53:55:38.869	G2IV/V	5692.5	9.830	9.200	9.035	57.58	GLS Plot	HD123319_harps_all-data_v1.dat	HD123319_harps_all-data_v1.csv
HD12345	02:00:48.7505	-12:52:29.926	G8III	5469.3	9.520	8.770	8.566	44.78	GLS Plot	HD12345_harps_all-data_v1.dat	HD12345_harps_all-data_v1.csv
HD123517	14:13:59.8820	-78:53:51.792	F8/G0III/IV	5517.8	10.240	9.550	9.366	263.04	GLS Plot	HD123517_harps_all-data_v1.dat	HD123517_harps_all-data_v1.csv
HD123619	14:09:13.2038	-22:32:15.218	F6V	6090.5	8.270	7.760	7.631	59.27	GLS Plot	HD123619_harps_all-data_v1.dat	HD123619_harps_all-data_v1.csv
HD123651	14:10:04.8132	-46:16:10.021	G0/1V	5993.6	8.720	8.190	8.039	49.88	GLS Plot	HD123651_harps_all-data_v1.dat	HD123651_harps_all-data_v1.csv
HD123732	14:10:41.2606	-47:46:08.388	G0V	5940.5	8.110	7.540	7.434	63.53	GLS Plot	HD123732_harps_all-data_v1.dat	HD123732_harps_all-data_v1.csv
HD123767	14:10:12.3381	-25:24:02.391	F5V	6327.0	7.910	7.430	7.294	131.51	GLS Plot	HD123767_harps_all-data_v1.dat	HD123767_harps_all-data_v1.csv
HD12387	02:00:32.1253	-40:43:52.492	G5VFe-0.8CH-0.7	N/A	8.020	7.360	7.202	35.26	GLS Plot	HD12387_harps_all-data_v1.dat	HD12387_harps_all-data_v1.csv
HD123999	14:10:23.9320	+25:05:30.021	F8V	6224.8	5.370	4.830	4.626	35.60	GLS Plot	HD123999_harps_all-data_v1.dat	HD123999_harps_all-data_v1.csv
HD124244	14:12:17.1123	+08:24:25.114	G5	5803.0	9.120	8.450	8.309	87.70	GLS Plot	HD124244_harps_all-data_v1.dat	HD124244_harps_all-data_v1.csv
HD12438	02:01:14.7226	-30:00:06.585	G8III	5000.0	6.230	5.350	5.061	87.04	GLS Plot	HD12438_harps_all-data_v1.dat	HD12438_harps_all-data_v1.csv
HD124523	14:15:14.9761	-42:48:16.757	G8V+G	N/A	10.140	9.460	9.248	80.90	GLS Plot	HD124523_harps_all-data_v1.dat	HD124523_harps_all-data_v1.csv
HD124785	14:16:57.3974	-50:16:52.885	F8/G0wF5	5773.6	9.220	8.670	8.509	110.87	GLS Plot	HD124785_harps_all-data_v1.dat	HD124785_harps_all-data_v1.csv
HD124900	14:16:20.1637	-04:17:06.732	G8V	5604.0	9.670	8.920	8.753	65.40	GLS Plot	HD124900_harps_all-data_v1.dat	HD124900_harps_all-data_v1.csv
HD124931	14:16:30.1610	-03:11:46.683	A0V	9332.5	6.137	6.141	6.125	142.00	GLS Plot	HD124931_harps_all-data_v1.dat	HD124931_harps_all-data_v1.csv
HD12524	02:01:42.3769	-44:42:48.626	K5IV	3930.0	6.630	5.140	4.451	119.13	GLS Plot	HD12524_harps_all-data_v1.dat	HD12524_harps_all-data_v1.csv
HD125271	14:26:35.6577	-81:27:11.918	K3+Vk:	4740.6	10.780	9.790	9.356	39.39	GLS Plot	HD125271_harps_all-data_v1.dat	HD125271_harps_all-data_v1.csv
HD125522	14:20:08.1440	-11:03:30.289	K3V	4861.0	10.910	10.130	9.729	43.82	GLS Plot	HD125522_harps_all-data_v1.dat	HD125522_harps_all-data_v1.csv
HD125612B	14:20:53.5	-17:28:53	M4	5867.0	nan	nan	nan	nan	GLS Plot	HD125612B_harps_all-data_v1.dat	HD125612B_harps_all-data_v1.csv
HD12583	02:02:58.5698	-15:18:21.351	K0II/III	5035.5	6.833	5.864	5.603	141.29	GLS Plot	HD12583_harps_all-data_v1.dat	HD12583_harps_all-data_v1.csv
