stars,spectral_types,specfiles,hits_start,hits_end,waves1,waves2,distances,HorK
HD211723,K5.5Vk:,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-06T10:06:08.677.fits,15167,15194,3933.4,3933.67,34.3,T
HD211723,K5.5Vk:,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-06T10:06:08.677.fits,18648,18675,3968.21,3968.48,34.3,T
HD217065,K6Vk,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-06T10:07:33.030.fits,15207,15211,3933.71,3933.75,27.93,T
HD223681,K2Vk,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2016-11-22T01:06:21.195.fits,15201,15223,3933.57,3933.79,46.76,T
HD223681,K2Vk,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2016-11-22T01:06:21.195.fits,18680,18704,3968.36,3968.6,46.76,T
HD223889,M3,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-24T09:43:03.600.fits,15199,15216,3933.47,3933.64,10.12,T
HD223889,M3,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-24T09:43:03.600.fits,18678,18684,3968.26,3968.32,10.12,T
HD223889,M3,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-24T09:43:03.600.fits,18689,18696,3968.37,3968.44,10.12,T
HD24916,K4V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:51:27.553.fits,15201,15227,3933.59,3933.85,15.3,T
HD24916,K4V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:51:27.553.fits,18683,18707,3968.41,3968.65,15.3,T
HD274255,M0V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-02-08T00:55:31.177.fits,15199,15236,3933.43,3933.8,19.15,T
HD274255,M0V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-02-08T00:55:31.177.fits,18682,18714,3968.26,3968.58,19.15,T
HD285968,M2.5V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T09:59:52.793.fits,15241,15258,3933.92,3934.09,9.47,T
HD285968,M2.5V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T09:59:52.793.fits,18722,18726,3968.73,3968.77,9.47,T
HD285968,M2.5V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T09:59:52.793.fits,18731,18739,3968.82,3968.9,9.47,T
HD298936,K3Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T10:01:25.840.fits,15199,15246,3933.67,3934.14,53.35,T
HD298936,K3Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T10:01:25.840.fits,18685,18722,3968.53,3968.9,53.35,T
HD29985,K6V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:19:47.653.fits,15283,15288,3934.21,3934.26,31.3,T
HD35650,K0,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-09T02:00:55.430.fits,15195,15236,3933.89,3934.3,17.48,T
HD35650,K0,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-09T02:00:55.430.fits,18678,18715,3968.72,3969.09,17.48,T
HD37572,F8V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-11-26T19:00:38.483.fits,15213,15276,3933.77,3934.4,24.63,T
HD37572,F8V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-11-26T19:00:38.483.fits,18704,18748,3968.68,3969.12,24.63,T
HD42581,M1V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-09-27T02:00:58.923.fits,15142,15175,3933.56,3933.89,5.76,T
HD42581,M1V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-09-27T02:00:58.923.fits,18625,18654,3968.39,3968.68,5.76,T
HD45081,K4Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-09T02:00:55.197.fits,15179,15230,3933.63,3934.14,39.26,T
HD45081,K4Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-09T02:00:55.197.fits,18663,18708,3968.47,3968.92,39.26,T
HD55279,K2V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T10:01:30.673.fits,15216,15256,3933.7,3934.1,63.8,T
HD55279,K2V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T10:01:30.673.fits,18699,18733,3968.53,3968.87,63.8,T
HD77825,K2V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-07T08:35:19.883.fits,15200,15227,3933.59,3933.86,27.38,T
HD77825,K2V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-07T08:35:19.883.fits,18690,18694,3968.49,3968.53,27.38,T
HIP113850,M3V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-24T09:44:14.807.fits,15275,15300,3933.97,3934.22,19.56,T
HIP113850,M3V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-24T09:44:14.807.fits,18757,18780,3968.79,3969.02,19.56,T
HIP116003,M2Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2016-10-11T01:02:07.092.fits,15165,15196,3933.27,3933.58,15.96,T
HIP116003,M2Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2016-10-11T01:02:07.092.fits,18652,18670,3968.14,3968.32,15.96,T
HIP12961,K5V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:22:31.217.fits,15270,15295,3933.96,3934.21,23.39,T
HIP12961,K5V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:22:31.217.fits,18751,18779,3968.77,3969.05,23.39,T
HIP16536,M2.5V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-17T11:22:31.333.fits,15224,15231,3933.94,3934.01,10.97,T
HIP16536,M2.5V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-17T11:22:31.333.fits,18705,18712,3968.75,3968.82,10.97,T
HIP17157,K7V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-08T02:01:22.570.fits,15199,15232,3933.82,3934.15,25.62,T
HIP17157,K7V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-08T02:01:22.570.fits,18681,18712,3968.64,3968.95,25.62,T
HIP17695,M3.0V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2016-10-06T01:04:38.071.fits,15164,15201,3933.72,3934.09,16.8,T
HIP17695,M3.0V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2016-10-06T01:04:38.071.fits,18647,18680,3968.55,3968.88,16.8,T
HIP1993,M0Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T10:03:10.263.fits,15202,15241,3933.57,3933.96,44.16,T
HIP1993,M0Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T10:03:10.263.fits,18683,18721,3968.38,3968.76,44.16,T
HIP22424,K7V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T09:59:29.257.fits,15222,15249,3933.9,3934.17,25.1,T
HIP22424,K7V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T09:59:29.257.fits,18704,18731,3968.72,3968.99,25.1,T
HIP23309,M0Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-08T02:01:23.117.fits,15176,15234,3933.63,3934.21,26.9,T
HIP23309,M0Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-08T02:01:23.117.fits,18665,18709,3968.52,3968.96,26.9,T
HIP31878,K7V(e),/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-17T02:01:10.327.fits,15195,15236,3933.89,3934.3,22.24,T
HIP31878,K7V(e),/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-17T02:01:10.327.fits,18677,18715,3968.71,3969.09,22.24,T
HIP3249,K5V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:22:12.580.fits,15248,15259,3933.82,3933.93,34.45,T
HIP3249,K5V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:22:12.580.fits,15261,15274,3933.95,3934.08,34.45,T
HIP3249,K5V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:22:12.580.fits,18730,18752,3968.64,3968.86,34.45,T
HIP36985,M1.0V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-19T02:01:30.933.fits,15107,15151,3933.23,3933.67,14.07,T
HIP36985,M1.0V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-11-19T02:01:30.933.fits,18591,18628,3968.07,3968.44,14.07,T
HIP46933,K5Vk:,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T10:02:08.547.fits,15244,15274,3933.82,3934.12,34.94,T
HIP46933,K5Vk:,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T10:02:08.547.fits,18725,18753,3968.63,3968.91,34.94,T
HIP48953,K4Vk:,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:22:47.723.fits,15207,15218,3933.92,3934.03,33.06,T
HIP48953,K4Vk:,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:22:47.723.fits,15222,15232,3934.07,3934.17,33.06,T
HIP5215,M0V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-24T09:41:59.243.fits,15204,15217,3933.8,3933.93,22.24,T
HIP5215,M0V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-24T09:41:59.243.fits,18683,18704,3968.59,3968.8,22.24,T
HIP53911,K6Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T10:00:15.070.fits,15231,15264,3933.68,3934.01,60.09,T
HIP54373,K5V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-16T11:05:08.290.fits,15169,15200,3933.46,3933.77,18.73,T
HIP54373,K5V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-16T11:05:08.290.fits,18651,18678,3968.28,3968.55,18.73,T
HIP63157,K5.5Vk,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2021-02-26T01:16:55.235.fits,15159,15163,3933.84,3933.88,31.1,T
HIP63157,K5.5Vk,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2021-02-26T01:16:55.235.fits,15170,15175,3933.95,3934.0,31.1,T
HIP80018,,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T10:03:29.557.fits,18715,18720,3968.79,3968.84,8.34,T
HIP80018,,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T10:03:29.557.fits,18721,18725,3968.85,3968.89,8.34,T
HIP92444,K8Vk,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T10:03:39.883.fits,15239,15269,3933.81,3934.11,17.66,T
HIP92444,K8Vk,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T10:03:39.883.fits,18721,18749,3968.63,3968.91,17.66,T
