Star,Type,Hit start ix,Spec file,CCD file,Hit start wavel,Verdict,Source
GJ1214,M4.5V,19170,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-23T11:05:31.390.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2009-08-05T00:48:08.218.fits,3972.99,ET,Repeaters
GJ1214,M4.5V,29523,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:52:03.477.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-09-02T00:18:54.276.fits,4076.4,ET,Repeaters
GJ1214,M4.5V,74667,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-23T11:03:49.200.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2009-09-03T23:26:05.655.fits,4527.88,ET,Repeaters
GJ1214,M4.5V,84777,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2019-07-16T01:16:01.495.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2019-07-15T03:32:39.231.fits,4629.43,ET,Repeaters
GJ1214,M4.5V,100284,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:53:06.640.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-07-10T00:39:39.961.fits,4784.19,ET,Core
GJ1214,M4.5V,165094,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2019-09-03T01:01:54.202.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2019-09-02T01:26:36.055.fits,5432.485,ET,Repeaters
GJ1214,M4.5V,202350,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:53:59.727.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-09-21T23:44:14.907.fits,5804.725,ET,Repeaters
GJ1214,M4.5V,222326,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-23T11:03:24.823.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2009-08-23T23:07:36.179.fits,6004.47,ET,Repeaters
GJ1214,M4.5V,233264,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-23T11:06:00.270.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2009-07-26T00:32:36.836.fits,6113.89,ET,Repeaters
GJ1236,M4V,219370,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:52:03.603.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-05-15T07:27:46.968.fits,5975.52,ET,Core
GJ3053,M4.5,7271,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2016-01-24T01:03:49.393.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2016-01-23T01:11:31.273.fits,3854.26,ET,Core
GJ317,M3.5V,88115,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2018-04-11T01:01:47.531.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2018-04-10T03:25:08.275.fits,4662.79,ET,Core
GJ317,M3.5V,286204,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2018-06-03T01:02:30.761.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2018-06-01T22:30:16.020.fits,6643.62,ET,Repeaters
GJ3221,M3.5V,290662,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-25T15:37:25.580.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2011-09-25T07:25:30.812.fits,6688.415,ET,Core
GJ3535,G3V,298846,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:22:17.720.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2004-05-31T00:36:26.077.fits,6769.71,ET,Core
